chunk_id,chunk_size,true_marginal_value,std_across_folds,min_fold_delta,max_fold_delta,reliable,sanity_check_type
15.0,750,0.002430048875260188,0.0003412230800894134,0.0020281713787652367,0.0028573674969651075,True,real
2.0,751,0.001891499090551424,0.0009813617837786202,0.0006597447294817149,0.0027197233429593903,False,real
10.0,750,0.0016525840958748039,0.0007519440026164093,0.000865136475508399,0.0027596785491997566,True,real
4.0,750,0.0015449326612457126,0.0005831080483867166,0.0008364744661368551,0.00221413988088337,True,real
3.0,750,0.00147316995943384,0.000782225693054251,0.000644712371626166,0.002604829844284534,False,real
6.0,750,0.0011714317792645757,0.0006848877232546082,0.00028618554619400105,0.0020972698078921825,False,real
0.0,751,0.0011131379337877335,0.0007997222725091339,0.00015158997828260135,0.0023500983667110176,False,real
8.0,750,0.0011005538603176101,0.0014600844133829752,-0.000560884592772759,0.0033944761817865376,False,real
14.0,750,0.0009782450518308118,0.00073827133189955,8.058070341718238e-05,0.0018056622895537833,False,real
13.0,750,0.0008318058082880164,0.0010414503222373756,-6.496873268624359e-05,0.002433521071041833,False,real
5.0,750,0.0008090646111878263,0.00083034510317771,-0.0001497789725833365,0.002109772312145708,False,real
19.0,749,0.0006977949009739192,0.0005527129117024708,-0.00027933280869360533,0.0010461166812281986,False,real
16.0,750,0.0005040409288371462,0.000966921416287589,-0.0002043590859740485,0.002205981406121521,False,real
11.0,750,0.00048330111174422764,0.0007948259939183767,-0.0006323856834074271,0.0014183124001181935,False,real
9.0,750,0.0004705131247682515,0.0005809034907096327,-0.0003273065864927982,0.001200373983109404,False,real
18.0,749,0.00027604029934860663,0.0015379835162013318,-0.0013096586444915348,0.0021297617749744535,False,real
1.0,751,0.00027591137041906857,0.0011912001385609176,-0.0009750264396769792,0.0019415159547578886,False,real
12.0,750,0.00016851157818120188,0.0006076917900707481,-0.0007619817854603583,0.0009263361440843554,False,real
17.0,749,1.779442993660729e-05,0.0007292746892762548,-0.001028787051928881,0.0005561839050203798,False,real
7.0,750,-5.846032069607432e-05,0.0008042294603403533,-0.000675388573430441,0.001294368520884992,False,real
DUPLICATE_OF_16.0,750,-0.0007071099318090801,0.0005091318996105316,-0.0012855469433710187,-7.433617284913208e-05,False,duplicate
CORRUPTED,750,-0.008806849667501499,0.0006891125692082443,-0.009910112936333482,-0.008159778338942048,True,corrupted
