chunk_id,chunk_size,full_pool_score,loo_score,true_marginal_value
0.0,1501,0.9813406018219791,0.9810965460386915,0.00024405578328767774
1.0,1501,0.9813406018219791,0.9811704797047103,0.00017012211726885607
2.0,1501,0.9813406018219791,0.9811249412168062,0.0002156606051729737
3.0,1500,0.9813406018219791,0.9813483573331822,-7.755511203022536e-06
4.0,1500,0.9813406018219791,0.9810907772333942,0.00024982458858491263
5.0,1500,0.9813406018219791,0.9811465754630322,0.00019402635894694154
6.0,1500,0.9813406018219791,0.9812724467721509,6.815504982826681e-05
7.0,1499,0.9813406018219791,0.9813503452654496,-9.743443470489055e-06
8.0,1499,0.9813406018219791,0.9811300870303747,0.00021051479160438813
9.0,1499,0.9813406018219791,0.9810437131515721,0.00029688867040700284
