chunk_id,chunk_size,true_marginal_value,std_across_folds,min_fold_delta,max_fold_delta,reliable,is_corrupted_sanity_check
10.0,750,0.002785887144532387,0.0008808671849551336,0.00164629250107598,0.004204961768459969,True,False
19.0,749,0.0027772613953295777,0.0011385501722931339,0.0007869296498524692,0.004243954989437915,True,False
4.0,750,0.002688113218121395,0.0009074648360804776,0.0013270269700725867,0.0036786815851384824,True,False
5.0,750,0.002528342678280251,0.0010090176496007739,0.0010772273201852534,0.00407719072268467,True,False
13.0,750,0.0024630019307058694,0.0009221576479632966,0.0011506750182767589,0.003511876428500149,True,False
1.0,751,0.002234000623381832,0.0008929804202618545,0.0008426024690186829,0.003614491197809988,True,False
12.0,750,0.0021901688403906452,0.001226038495153942,0.00036437186624665996,0.0035560499622580566,False,False
6.0,750,0.0020358885511574665,0.000978311353913895,0.0004314510611103939,0.00310802626976478,True,False
7.0,750,0.0020355152934385147,0.0011062381218772254,0.0005264464131992663,0.004038718311323214,False,False
16.0,750,0.0020184769171059797,0.0011616903899682564,0.0006354417938856938,0.0037000748552021845,False,False
14.0,750,0.001828162925722094,0.0007103752453967112,0.0004153427806090626,0.0026620218412433116,True,False
15.0,750,0.0017563463979729556,0.001124070634105282,0.00038163430784476926,0.003991592851890685,False,False
18.0,749,0.0015475661191380607,0.0008269082544184015,0.0006274667527732258,0.0030603952212147345,False,False
0.0,751,0.0015291886147855566,0.0008574216372503336,0.0005213417561410472,0.0030550642902213154,False,False
9.0,750,0.0014473027952115539,0.000640478005909213,0.0005187306468432407,0.0025455678676084004,True,False
3.0,750,0.0013912030118189457,0.0003741382042672653,0.0007644247166967433,0.0018369956800533827,True,False
11.0,750,0.0012875240982020211,0.0010250551279964621,-0.0005312391273733508,0.002478966299651969,False,False
8.0,750,0.0010378101192200784,0.0008073220612452636,-6.123413230343933e-05,0.002320614778648533,False,False
17.0,749,0.0010251345318578256,0.0008232802021685343,0.00031753599263931176,0.0023426768776889373,False,False
2.0,751,0.0010147027735940804,0.0009401896301502867,0.00023482249745751527,0.0025810397543030994,False,False
CORRUPTED,750,-0.009467074687752028,0.00153940034288415,-0.01117907350503336,-0.0071454656446298115,True,True
